property_type,location,price,features
4 Bedroom Penthouse Apartment.,"Old Ikoyi, Ikoyi, Lagos","15,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save
3 Bedrooms Luxury Apartment,"Oniru, Victoria Island (VI), Lagos","5,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
2 Bedroom Luxury Apartments.,"Ikoyi, Lagos","8,500,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Lovely And Spacious 3 Bedroom Flat,"Lekki Phase 1, Lekki, Lagos","3,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Lovely 3 Bedroom Flat,"Moba Street, Ojuelegba, Surulere, Lagos","1,000,000 per annum",3 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save
Spacious Mini Flat All Round Tiles,"Ayetoro Itele, Ipaja, Lagos","100,000 per annum",1 Bedroom1 Bathroom1 Toilet3 Parking Spaces Save
Newly Built Decent Miniflat Apartment,"Shomolu, Lagos., Palmgrove, Shomolu, Lagos","450,000 per annum",1 Bedroom1 Bathroom1 Toilet3 Parking Spaces Save
3 Bedroom Apartment,"Off Silver Bird Road, Jakande 1st Gate, Lekki Lagos, Jakande, Lekki, Lagos","1,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets1 Parking Space Save
An Executive & Magnificent Luxury Serviced 3 Bedroom Flat + Bq,"Off Herbert Macaulay Way, Alagomeji, Yaba, Lagos","2,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
3 Bedroom Flat,"Ikeja, Lagos","1,600,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
3 Bedroom Flat,"Allen, Ikeja, Lagos","2,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets15 Parking Spaces Save
Brand New Luxury Flat,"There Annex, Sangotedo, Ajah, Lagos","600,000 per annum",1 Bedroom1 Bathroom2 Toilets9 Parking Spaces Save
Luxury 3 Bedroom Flat,"Road 1, Osapa, Lekki, Lagos","2,200,000 per annum",3 Bedrooms3 Bathrooms4 Toilets6 Parking Spaces Save
Luxury 2 Bedroom Flat,"Ogidan, Ajah, Lagos","950,000 per annum",2 Bedrooms2 Bathrooms3 Toilets6 Parking Spaces Save
"Executive And Luxury 2 Bedroom Duplex, All Ensuite","Bode Thomas, Surulere, Lagos","1,800,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Standard Room And Parlor Self-contained,"Epe, Lagos","180,000 per annum",1 Bedroom2 Bathrooms2 Toilets2 Parking Spaces Save
New Luxury 2 Bedroom Flat Ensuite With The Necessary Facilities,"Off Isawo Road, Back Of Mechanic Village,, Agric, Ikorodu, Lagos","400,000 per annum",2 Bedrooms2 Bathrooms3 Toilets5 Parking Spaces Save
Renovated 3 Bedroom Flat,"Ikeja, Lagos","2,300,000 per annum",3 Bedrooms3 Bathrooms4 Toilets20 Parking Spaces Save
A Lovely & Nice Well Finished All Room Ensuite 3 Bedroom Flat,"Bode Thomas, Surulere, Lagos","3,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
Executive Mini Flat,"Lekki Phase 1, Lekki, Lagos","1,350,000 per annum",1 Bedroom1 Bathroom2 Toilets1 Parking Space Save
Luxury Clean 2 Bedroom Flat,"Sunview Estate, Sangotedo, Ajah, Lagos","700,000 per annum",2 Bedrooms2 Bathrooms3 Toilets5 Parking Spaces Save
A Room Self Contain,"Ologolo Spg, Lekki Expressway, Lekki, Lagos","1,200,000 per annum",1 Bedroom1 Bathroom1 Toilet4 Parking Spaces Save
Fully Furnished 3 Bedroom Flat,"Oniru, Victoria Island (VI), Lagos","8,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Brand New 5 Bedroom Duplexes,"Ikeja, Lagos","5,000,000 per annum",5 Bedrooms5 Bathrooms5 Toilets8 Parking Spaces Save
Nice And Standard Self Contained,"Agungi, Lekki, Lagos","600,000 per annum",1 Bedroom Save
Nice And Standard Self Contained,"Agungi, Lekki, Lagos","1,300,000 per annum",1 Bedroom Save
2 Bedroom Flat All Room Ensuit With A Guest Toilet,"Off Allen Avenue, Allen, Ikeja, Lagos","1,200,000,000 per annum",2 Bedrooms3 Bathrooms3 Toilets6 Parking Spaces Save
2 Bedroom Flat All Room Ensuit With A Guest Toilet,"Off Allen Avenue, Allen, Ikeja, Lagos","1,000,000 per annum",2 Bedrooms3 Bathrooms3 Toilets8 Parking Spaces Save
Super Luxury 4 Bedroom Serviced Apartment With A Bq,"Banana Island, Ikoyi, Lagos","22,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save
Well Finished 2 Bedroom Flat,"Off Allen Avenue, Allen, Ikeja, Lagos","1,300,000 per annum",2 Bedrooms2 Bathrooms3 Toilets10 Parking Spaces Save
Mini Flat Available,"Chris Otulana, U3 Estate Marwa, Lekki Phase 1, Lekki, Lagos","1,800,000 per annum",1 Bedroom Save
A Spacious 2 Rooms Office Space,"Oguntolu Street Off Shipeolu, Onipanu, Shomolu, Lagos","350,000 per annum",1 Bathroom1 Toilet1 Parking Space Save
Newly Renovated 2 Bedroom Apartment.,"Ajileye Street, Ilaje, Bariga, Shomolu, Lagos","900,000 per annum",2 Bedrooms3 Bathrooms3 Toilets Save
Renovated Apartment,"Off Allen Avenue, Allen, Ikeja, Lagos","2,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets50 Parking Spaces Save
Exquisitely Furnished 3 Bedroom Apartment,"1004 Housing Estate, Victoria Island (VI), Lagos","4,500,000 per annum",3 Bedrooms3 Bathrooms3 Toilets1 Parking Space Save
A Lovely Room Self Contained,"Kingsley Emu Street, Lekki Phase 1, Lekki, Lagos","650,000 per annum",1 Bedroom2 Bathrooms1 Toilet Save
Neat Newly Built 2 Bedroom Flat All Tiles Floor Big Compound,"Itele Ogun State Close To Ayobo, Ayobo, Lagos","200,000 per annum",2 Bedrooms2 Bathrooms2 Toilets Save
Spacious 3 Bedroom Flat All Tiled Floor & Rooms Ensuite,"Itele Ogun State Close To Ayobo, Ayobo, Lagos","250,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Self Serviced 3 Bedrooms Flat,"Ikate Elegushi, Ikate, Lekki, Lagos","1,700,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Renovated 3 Bedroom Apartment With A Bq,"Ikeja, Lagos","3,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save
Nice And Standard Newly Built Self Contained With Extra Space,"Shoprite Road, Osapa London, Osapa, Lekki, Lagos","1,000,000 per annum",1 Bedroom Save
Nice And Standard Newly Built Self Contained,"Shoprite Road, Osapa London, Lekki, Lagos","900,000 per annum",1 Bedroom Save
3 Bedrooms Flat,"Oriade Street,captain Bus-stop., Abule Egba, Agege, Lagos","500,000 per annum",3 Bedrooms2 Bathrooms2 Toilets8 Parking Spaces Save
Newly Renovated 3 Bedrooms Flat With One Room Bq,"Awuse Estate, Opebi, Ikeja, Lagos","2,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets8 Parking Spaces Save
Relatively New 3 Bedroom Flat In Quiet Location,"Off Allen Avenue, Ikeja, Lagos","1,800,000 per annum",3 Bedrooms3 Bathrooms3 Toilets8 Parking Spaces Save
Well Built 5 Units Of 3 Bedroom Apartment With Bq,"Ikeja, Lagos","16,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Spacious 2 Bedrooms Flat,"Epe Central, Epe, Lagos","270,000 per annum",2 Bedrooms3 Bathrooms3 Toilets5 Parking Spaces Save
2 Bedrooms Flat,"Odomola, Epe, Lagos","120,000 per annum",1 Bedroom2 Bathrooms2 Toilets2 Parking Spaces Save
2 Bedrooms Flat,"Agric, Epe, Lagos","350,000 per annum",2 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces Save
A Room Self Contained.,"Chevron Estate, Lekki Expressway, Lekki, Lagos","700,000 per annum",1 Bedroom1 Bathroom1 Toilet4 Parking Spaces Save
A Mini Flat,"Chevron, Lekki Expressway, Lekki, Lagos","1,600,000 per annum",1 Bedroom1 Bathroom1 Toilet4 Parking Spaces Save
A Room Self Contained,"Chevron, Lekki, Lagos","900,000 per annum",1 Bedroom1 Bathroom1 Toilet4 Parking Spaces Save
A Room Self Contained.,"Chevron, Lekki Expressway, Lekki, Lagos","950,000 per annum",1 Bedroom1 Bathroom1 Toilet4 Parking Spaces Save
A 3 Bedroom Flat Upstairs All Rooms.,"Adisa Bashua Street Off Adelabu Street., Adelabu, Surulere, Lagos","2,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
3 Bedroom Flat.,"Mobile Road., Ilaje, Ajah, Lagos","1,250,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Newly Built 2 Bedroom Flat,"Mobile Road., Ilaje, Ajah, Lagos","1,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Service 2 Bedroom Flat.,"Off Palace Road Oniru Estate., Oniru, Victoria Island (VI), Lagos","2,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Newly Built 1 Bedroom Service Apartment Mini Flat,"Greenville Estate Badore, Ajah, Lagos","700,000 per annum",1 Bedroom1 Bathroom2 Toilets2 Parking Spaces Save
A Newly Built 2 Bedroom Flat Ground Floor,"Bode Thamos., Surulere, Lagos","1,700,000 per annum",2 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save
Lovely Ensuite 3 Bedroom Flat On Second Floor,"Off Ayo Alabi Road, Ogba, Ikeja, Lagos","1,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Pop Finished 2 Bedroom Apartment.,"Alaska Avenue, Igbogbo, Ikorodu, Lagos","250,000 per annum",2 Bedrooms1 Bathroom1 Toilet1 Parking Space Save
3 Bedroom Flat Apartment,"Abule Egba, Agege, Lagos","550,000 per annum",3 Bedrooms2 Bathrooms2 Toilets3 Parking Spaces Save
Newly Renovated 3 Bedroom Flat In A Luxurious Estate,"Ikota, Lekki, Lagos","1,700,000 per annum",3 Bedrooms3 Bathrooms4 Toilets10 Parking Spaces Save
Executive 3 Bedroom Flat,"Shapati, Bogije, Ibeju Lekki, Lagos","850,000 per annum",3 Bedrooms3 Bathrooms4 Toilets8 Parking Spaces Save
Newly Built 2 Bedroom Flat,"L F I Estate, Igbogbo, Ikorodu, Lagos","200,000 per annum",2 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces Save
A Room Self Contained,"Chevron, Lekki Expressway, Lekki, Lagos","850,000 per annum",1 Bedroom1 Bathroom1 Toilet5 Parking Spaces Save
Room And Parlour Self Contained,"Atobaba Street Shelewu, Igbogbo, Ikorodu, Lagos","160,000 per annum",1 Bedroom2 Bathrooms2 Toilets2 Parking Spaces Save
A Room Self Contained,"Chevron, Lekki Expressway, Lekki, Lagos","650,000 per annum",1 Bedroom1 Bathroom1 Toilet4 Parking Spaces Save
Newly Built 2 Bedroom Flat,"Ikeja GRA, Ikeja, Lagos","900,000 per annum",2 Bedrooms2 Bathrooms2 Toilets Save
Elegant 2 Bedroom Flat,"GRA, Ogudu, Lagos","1,000,000 per annum",2 Bedrooms2 Bathrooms2 Toilets Save
A Room Self Contained,"Chevron, Lekki Expressway, Lekki, Lagos","850,000 per annum",1 Bedroom1 Bathroom1 Toilet6 Parking Spaces Save
Tastefully Finished 3 Bedroom Flat,"Opic, Isheri North, Lagos","850,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Newly Built Single Roomself Contained,"B,capentry Street, Igbogbo, Ikorodu, Lagos","80,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
Beautifully Built 2 Bedroom Flat,"Idado Estate Before Chevron Roundabout., Idado, Lekki, Lagos","1,700,000 per annum",2 Bedrooms2 Bathrooms2 Toilets3 Parking Spaces Save
3 Bedroom Serviced Apartment,"Oniru, Victoria Island (VI), Lagos","4,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
3 Bedroom Flat All Rooms Ensuite,"Warewa, Off Lagos-ibadan Expessway, Berger, Arepo, Ogun","500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
3 Bedrooms Flat,"University View Estate, By Lagos Business School, Olokonla, Lekki Phase 2, Lekki, Lagos","1,400,000 per annum",3 Bedrooms3 Bathrooms4 Toilets6 Parking Spaces Save
6 Nos 3 Bedrooms Apartment With Swimming Pool For Commercial Use,"Dideolu Estate, Victoria Island Extension, Victoria Island (VI), Lagos","4,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
2 Bedroom Flat,"No I Ganiyat Alayaki Street Along Karimu Laka Road, Egbeda, Alimosho, Lagos","450,000 per annum",2 Bedrooms1 Bathroom1 Toilet5 Parking Spaces Save
Luxurious Newly Built A Room And Parlour Self Contain,"Valley County Estate Sangotedo Ajah Lekki Lagos, Ajah, Lagos","700,000 per annum",1 Bedroom1 Bathroom2 Toilets7 Parking Spaces Save
Lovely One Room Self Contained Flat In A Gated Environment ( Upstairs),"Yaba, Lagos","350,000 per annum",  Save
Ground Floor 2 Bedroom Flat,"U3 Estate, Lekki, Lagos","2,000,000 per annum",2 Bedrooms1 Bathroom2 Toilets1 Parking Space Save
Lovely 3 Bedroom Flat,"Alapere, Ketu, Lagos","800,000 per annum",3 Bedrooms Save
Newly Built Tastefully Finished 2 Bedroom Flat All Ensuite Upstairs,"GRA, Magodo, Lagos","1,600,000 per annum",2 Bedrooms2 Bathrooms3 Toilets7 Parking Spaces Save
We Have Luxury 2 Bedrooms,"Off Fatai Irawo Street, Ajao Estate, Isolo, Lagos","1,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets8 Parking Spaces Save
We Have Newly Built Luxury 3 Bedroom Flat,"Fatai Irawo Street, Ajao Estate, Isolo, Lagos","1,500,000 per annum",3 Bedrooms3 Bathrooms3 Toilets10 Parking Spaces Save
3 Bedroom Flat,"Alapere, Ketu, Lagos","800,000 per annum",3 Bedrooms3 Toilets Save
Nice Room & Parlour,"Unity Estate, Egbeda, Alimosho, Lagos","400,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
Luxurious 2 Bedroom Flat Upstairs,"Seaside Estate, Badore, Ajah, Lagos","850,000 per annum",2 Bedrooms2 Bathrooms3 Toilets7 Parking Spaces Save
Urgent Newly Renovated Two Bedroom Flat For Office Used,"Off Toyin Street Ikej, Allen, Ikeja, Lagos","1,000,000 per annum",2 Bedrooms2 Bathrooms2 Toilets8 Parking Spaces Save
Studio Apartment,"Banana Island, Ikoyi, Lagos","4,000,000 per annum",  Save
"A Very Sharp 2 Bedrooms, Shared Apartment, Upstairs, Only 2 People","Even Estate, Very Close To Ado Roundabout, Badore Road, Ajah, Lagos","240,000 per annum",1 Bathroom1 Toilet3 Parking Spaces Save
Luxurious Room And Parlour Self Contained With Standby Generator,"Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","2,500,000 per annum",1 Bedroom1 Bathroom2 Toilets80 sqm Total Area Save
Luxurious 2 Bedroom Flat,"Mobile Road , Close To Northwest Filling Station Ilaje, Ajah, Lagos","900,000 per annum",2 Bedrooms2 Bathrooms3 Toilets8 Parking Spaces Save
4 Bedroom Bungalow,"Modupe Johnson, Adeniran Ogunsanya, Surulere, Lagos","1,500,000 per annum",4 Bedrooms2 Toilets2 Parking Spaces Save
Refurbished Luxury 2 Bedroom Duplex,"Off Bashir Shittu, Magodo, Lagos","2,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets6 Parking Spaces Save
A Self Contained Room,"Shoprite Road, Osapa, Lekki, Lagos","900,000 per annum",1 Bathroom1 Toilet5 Parking Spaces600 sqm Total Area Save
A Room Self Contained,"Osapa Ext.,, Agungi, Lekki, Lagos","1,000,000 per annum",1 Bathroom1 Parking Space500 sqm Total Area500 sqm Covered Area Save
A Room Self Contained,"Osapa Ext.,, Agungi, Lekki, Lagos","1,250,000 per annum",1 Bathroom1 Parking Space500 sqm Total Area500 sqm Covered Area Save
A Room Self Contained,"Osapa Extension, Agungi, Lekki, Lagos","650,000 per annum",1 Bathroom1 Parking Space500 sqm Total Area500 sqm Covered Area Save
Brand New 3 Bedroom Flat,"First Unity Estate Cooperative Villa Badore Addo, Ajah, Lagos","1,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets5 Parking Spaces Save
A Room Self Contained,"Osapa Extention, Agungi, Lekki, Lagos","850,000 per annum",1 Bathroom1 Parking Space500 sqm Total Area500 sqm Covered Area Save
A Room & Parlour,"Osapa Extension, Agungi, Lekki, Lagos","1,600,000 per annum",1 Bedroom1 Bathroom1 Toilet3 Parking Spaces Save
A Brand Newly Built Mini Flat,"Akerele, Surulere, Lagos","600,000 per annum",1 Bedroom1 Bathroom2 Toilets Save
Luxurious Room And Parlour Self Contained,"New Road Opposite Chevron, Lekki, Lagos","800,000 per annum",1 Bedroom1 Bathroom2 Toilets4 Parking Spaces Save
3 Bedroom Apartments,"Victoria Island (VI), Lagos","11,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
A Brand Newly Built Mini Flat,"Oyadiran Estate Extension, Sabo, Yaba, Lagos","350,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
Excellent & Spacious Bedroom All Rooms Ensuite Flat With Car Park,"Shomolu, Lagos","1,200,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
A Very Decent Newly Built Mini Flat,"Baruwa, Ipaja, Lagos","250,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
3 Bedroom Flat,"Oyadiran Estate, Sabo, Yaba, Lagos","1,000,000 per annum",3 Bedrooms2 Bathrooms2 Toilets Save
A Newly Renovated Mini Flat,"Obadiah, Ilaje, Bariga, Shomolu, Lagos","350,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
A Superb Fully Furnished N Fully Serviced 2 Bedroom Flat,"Osapa London, Lekki, Lagos","2,500,000 per annum",2 Bedrooms2 Bathrooms3 Toilets5 Parking Spaces Save
A Room In A Flat,"Seaside Estate Addo, Badore, Ajah, Lagos","300,000 per annum",1 Bathroom1 Toilet5 Parking Spaces500 sqm Total Area Save
"2 Bedroom Flat Downstairs With 1toilet Bathroom , Nice Kitchen Cabinet","Mende, Maryland, Lagos","850,000 per annum",2 Bedrooms1 Bathroom1 Toilet8 Parking Spaces Save
Luxurious 2 Bedroom Flat Upstairs,"Blenco Supermarket, Sangotedo, Ajah, Lagos","950,000 per annum",2 Bedrooms3 Bathrooms3 Toilets7 Parking Spaces Save
Luxurious 3 Bedroom Flat,"Mobile Road Ilaje, Ajah, Lagos","1,100,000 per annum",3 Bedrooms4 Bathrooms4 Toilets7 Parking Spaces Save
Luxurious 2 Bedroom Flat,"Blenco, Ajah, Lagos","1,200,000 per annum",2 Bedrooms2 Bathrooms3 Toilets7 Parking Spaces Save
A Lovely And Nice Room Self Contained,"Fola Agoro, Yaba, Lagos","350,000 per annum",1 Bathroom1 Toilet1 Parking Space650 sqm Total Area Save
A Lovely And Nice Very Decent 2 Bedroom Flat,"Off Onike Iwaya Road, Onike, Yaba, Lagos","750,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Luxurious Fully Furnished 2 Bedroom Flat,"Thomas Estate, Ajah, Lagos","1,500,000 per annum",2 Bedrooms2 Bathrooms3 Toilets6 Parking Spaces Save
3-bedroom Flat,"Akora Estate Adeniyi Jones, Ikeja, Lagos","1,500,000 per annum",3 Bedrooms3 Bathrooms3 Toilets Save
Luxury 4 Bedroom Apartment,"1004 Estate, Victoria Island (VI), Lagos","4,500,000 per annum",4 Bedrooms3 Bathrooms4 Toilets1 Parking Space Save
Big Self Contained Apartment,"Tapa Street, Ebute Metta East, Yaba, Lagos","250,000",1 Toilet Save
Mini Flat,"Budland Ojodu, Akiode, Ojodu, Lagos","350,000 per annum",1 Bedroom1 Toilet Save
Lovely 3 Bedroom Flat In A Gated Area,"Fagba, Agege, Lagos","600,000 per annum",3 Bedrooms3 Bathrooms3 Toilets Save
"Newly Built Room Self Contained With Car Park, Balcony","Off Shyllon Street, Palmgrove, Ilupeju, Lagos","320,000 per annum",1 Bathroom2 Toilets2 Parking Spaces Save
"Nice Mini Flat 1 Toilet, Bathrm, Tiled Floor, Kitchen","Anthony Village, Mende, Maryland, Lagos","600,000 per annum",1 Bedroom1 Bathroom1 Toilet5 Parking Spaces Save
Miniflat At Harmony Estate Gbagada,"Harmony Estate Gbagada Lagos, Gbagada, Lagos","600,000",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
A Room In A Flat Shared Kitchen Only,"Addo Road, Ajah, Lagos","300,000 per annum",1 Bathroom1 Toilet5 Parking Spaces500 sqm Total Area Save
"Nice Mini Flat Upstairs, Downstairs.","Mende Maryland/anthony, Mende, Maryland, Lagos","600,000 per annum",1 Bedroom1 Bathroom1 Toilet5 Parking Spaces Save
Lovely Self Service 2 Bedroom Flat,"Lekki Phase 1, Lekki, Lagos","2,300,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
A Room Self Contain,"Idado, Lekki, Lagos","600,000 per annum",1 Bathroom1 Toilet600 sqm Total Area600 sqm Covered Area Save
Newly Built Mini Flat In A Good Location,"Abaranje Okerube, Ijegun, Ikotun, Lagos","250,000 per annum",1 Bedroom2 Bathrooms2 Toilets5 Parking Spaces Save
Nice And Standard Renovated Self Contained,"Idado Estate, Idado, Lekki, Lagos","450,000 per annum",  Save
Standard Room And Parlor Self-contain With Pop,"Epe, Lagos","150,000 per annum",1 Bedroom1 Bathroom1 Toilet3 Parking Spaces Save
Luxury Miniflat,"Epe, Lagos","150,000 per annum",1 Bedroom1 Bathroom1 Toilet3 Parking Spaces Save
Two Bedroom Apartment,"Ologolo, Lekki, Lagos","1,200,000 per annum",2 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save
A Room And Parlour Apartment,"Ologolo, Lekki, Lagos","650,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
Two Bedroom Apartment,"Lekki Phase 1, Lekki, Lagos","1,700,000 per annum",2 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save
One Bedroom Apartment,"Lekki Phase 1, Lekki, Lagos","1,200,000 per annum",1 Bedroom2 Bathrooms2 Toilets2 Parking Spaces Save
A Room Self Contained,"Idado Estate, Lekki Expressway, Lekki, Lagos","600,000 per annum",1 Bathroom1 Toilet600 sqm Total Area500 sqm Covered Area Save
Newly Renovated Room Self Contained. Lovely Toilet & Bath,"Mende, Maryland, Lagos","250,000 per annum",1 Bedroom1 Bathroom1 Toilet4 Parking Spaces Save
Luxury 2 Bedrooms Flat,"Ikeja GRA, Ikeja, Lagos","2,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets Save
Beautiful 1 Bedrooms Apartment,"Ikeja GRA, Ikeja, Lagos","900,000 per annum",1 Bedroom1 Bathroom2 Toilets Save
Very Clean And Spacious Standard Room Self Contained,"Aladelola, Ikosi, Ketu, Lagos","300,000 per annum",1 Bathroom1 Toilet2 Parking Spaces Save
Luxury Room In A Shared Apartment Duplex,"Greenland Estate, Off Lagos Business School Road, Ajiwe, Ajah, Lagos","600,000 per annum",1 Bathroom1 Toilet1 Parking Space800 sqm Total Area Save
1 Bedroom Flat,"Mende, Maryland, Lagos","650,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
Luxury 3 Bedrooms Apartment With Bq,"Off Adeola Odeku, Victoria Island (VI), Lagos","12,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
1 Bedroom Waterfront Apartment,"Victoria Island (VI), Lagos","32,000 per annum 
approx. ₦12,776,399",1 Bedroom1 Bathroom2 Toilets2 Parking Spaces Save
2 Bedrooms,"Alapere, Ketu, Lagos","450,000 per annum",2 Bedrooms Save
"A Brand New Room In A Standard Flat, Shared Kitchen Only","Glorious Estate, Badore, Ajah, Lagos","300,000 per annum",1 Bathroom1 Toilet5 Parking Spaces500 sqm Total Area Save
3 Bedrooms Flat,"Harmony Estate, Ifako, Gbagada, Lagos","800,000 per annum",3 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save
2 Bedrooms,"Adeniyi Jones, Ikeja, Lagos","1,200,000 per annum",2 Bedrooms2 Bathrooms2 Toilets7 Parking Spaces Save
Luxury 2 Bedrooms Flat,"Around Lbs, Sangotedo, Ajah, Lagos","1,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets12 Parking Spaces Save
Serviced 1 Room Self Contained In A Serene Environment,"Victoria Island (VI), Lagos","1,300,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
3 Bedrooms Flat,"Alake Onilike Avenue, Gbagada Phase 2, Gbagada, Lagos","1,600,000 per annum",3 Bedrooms Save
A Luxury 3 Bedrooms Flat With Good Finishing,"Millennium Estate, Gbagada, Lagos","1,250,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Executive Studio Apartment,"Lekki Phase 1, Lekki, Lagos","1,200,000 per annum",1 Bathroom1 Toilet1 Parking Space Save
Furnished Studio Apartment,"Old Ikoyi, Ikoyi, Lagos","6,000,000 per annum",  Save
A Room Self Contained,"Idado, Lekki, Lagos","500,000 per annum",1 Bathroom1 Toilet400 sqm Total Area400 sqm Covered Area Save
Authentic And Achievable Homes,"Ocean Bay, Lekki, Lagos","2,000,000 per annum",3 Bedrooms4 Bathrooms4 Toilets Save
Very Nice 2 Bedrooms Flat,"Opposite Lagos Business School, Olokonla, Ajah, Lagos","700,000 per annum",2 Bedrooms2 Bathrooms3 Toilets10 Parking Spaces Save
Clean 3 Bedrooms Flat,"Peninsula Garden Estate, Sangotedo, Ajah, Lagos","1,200,000 per annum",3 Bedrooms4 Bathrooms4 Toilets8 Parking Spaces Save
Luxury 3 Bedrooms Furnished Flat,"Lekki Phase 1, Lekki, Lagos","3,500,000 per annum",3 Bedrooms4 Bathrooms4 Toilets2 Parking Spaces Save
Luxury Furnished 3 Bedroom Apartment,"1004 Estate, Victoria Island (VI), Lagos","4,500,000 per annum",3 Bedrooms2 Bathrooms3 Toilets1 Parking Space Save
Luxurious Newly Built 3 Bedrooms Flat,"Contain Road, By Global Gate Opposite Green Spring School, Awoyaya, Ibeju Lekki, Lagos","700,000 per annum",3 Bedrooms3 Bathrooms4 Toilets6 Parking Spaces Save
A Room Self Contained.,"Salem, Lekki Expressway, Lekki, Lagos","700,000 per annum",1 Bedroom1 Bathroom1 Toilet5 Parking Spaces Save
Furnished Self Contained.,"Ikate, Lekki, Lagos","600,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
3 Bedroom Flat,"Osapa, Lekki, Lagos","2,200,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
An Executive Mini Flat,"Oriola,street, Alapere, Ketu, Lagos","600,000 per annum",1 Bedroom2 Toilets Save
Upscale 3 Bedroom Premium Maisonette,"Banana Island, Ikoyi, Lagos","15,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Spacious 3 Bedroom Flat With All Rooms Ensuit,"Thomas Estate Ajah, Ajah, Lagos","1,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
Brand New 2 Bedroom Flats With Excellent Finishing,"University View Estate, Opposite Lagos Business School (lbs), Ajah, Lagos","750,000 per annum",2 Bedrooms2 Bathrooms3 Toilets Save
Newly Built 2 Bedroom Apartments In A Secured And Serene Estate,"Ipaja, Lagos","600,000 per annum",2 Bedrooms3 Bathrooms3 Toilets12 Parking Spaces Save
